URL_length,parameter_maxlen,digit_percentage,letter_percentage,parameter_number,XSS_count,evil_char_count,char_0,char_13,char_14,char_16,char_17,char_18,char_20,char_21,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,label
45,41,0.022222,0.733333,1,6,11,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
132,33,0.045455,0.643939,8,8,41,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
46,44,0.0,0.673913,1,4,15,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
65,39,0.0,0.815385,2,9,12,2,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1
25,22,0.0,0.68,1,2,8,1,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1
101,30,0.029703,0.643564,4,5,33,5,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1
125,30,0.016,0.712,5,5,34,5,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1
57,49,0.035088,0.684211,2,4,16,2,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1
72,27,0.083333,0.638889,6,4,20,1,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1
164,27,0.04878,0.707317,3,6,40,1,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1
83,37,0.012048,0.746988,3,4,20,2,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1
50,45,0.0,0.72,1,3,14,3,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1
33,30,0.121212,0.575758,1,4,10,1,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,1
50,35,0.06,0.64,3,5,15,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
202,31,0.019802,0.737624,5,4,49,1,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
37,35,0.0,0.675676,1,4,12,2,5,5,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1
